#ENCODE_data_set,TF_name,JASPAR2014_matrix_id
wgEncodeAwgTfbsSydhMcf10aesStat3Etoh01UniPk,STAT3,MA0144.2
wgEncodeAwgTfbsSydhMcf10aesStat3Etoh01bUniPk,STAT3,MA0144.2
wgEncodeAwgTfbsSydhMcf10aesStat3Etoh01cUniPk,STAT3,MA0144.2
wgEncodeAwgTfbsSydhMcf10aesStat3Tam112hHvdUniPk,STAT3,MA0144.2
wgEncodeAwgTfbsSydhMcf10aesStat3TamUniPk,STAT3,MA0144.2
wgEncodeAwgTfbsSydhMcf7Gata3UcdUniPk,GATA3,MA0037.2
wgEncodeAwgTfbsSydhMcf7Gata3sc269UcdUniPk,GATA3,MA0037.2
wgEncodeAwgTfbsSydhMcf7Hae2f1UcdUniPk,E2F1,MA0024.2
wgEncodeAwgTfbsSydhMcf7Tcf7l2UcdUniPk,TCF7L2,MA0523.1
wgEncodeAwgTfbsSydhNb4CmycUniPk,MYC,MA0147.2
wgEncodeAwgTfbsSydhNb4MaxUniPk,MAX,MA0058.2
wgEncodeAwgTfbsSydhNt2d1Yy1UcdUniPk,YY1,MA0095.2
wgEncodeAwgTfbsSydhPanc1Tcf7l2UcdUniPk,TCF7L2,MA0523.1
wgEncodeAwgTfbsSydhPbdeGata1UcdUniPk,GATA1,MA0035.3
wgEncodeAwgTfbsSydhPbdefetalGata1UcdUniPk,GATA1,MA0035.3
wgEncodeAwgTfbsSydhShsy5yGata2UcdUniPk,GATA2,MA0036.2
wgEncodeAwgTfbsSydhShsy5yGata3sc269sc269UcdUniPk,GATA3,MA0037.2
wgEncodeAwgTfbsUchicagoK562EfosUniPk,FOS,MA0476.1
wgEncodeAwgTfbsUchicagoK562Egata2UniPk,GATA2,MA0036.2
wgEncodeAwgTfbsUchicagoK562EjunbUniPk,JUNB,MA0490.1
wgEncodeAwgTfbsUchicagoK562EjundUniPk,JUND,MA0491.1
wgEncodeAwgTfbsUtaA549CtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUtaFibroblCtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUtaGlioblaCtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUtaGm12878CmycUniPk,MYC,MA0147.2
wgEncodeAwgTfbsUtaGm12878CtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUtaGm12891CtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUtaGm12892CtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUtaGm19238CtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUtaGm19239CtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUtaGm19240CtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUtaH1hescCmycUniPk,MYC,MA0147.2
wgEncodeAwgTfbsUtaH1hescCtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUtaHelas3CmycUniPk,MYC,MA0147.2
wgEncodeAwgTfbsUtaHelas3CtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUtaHepg2CmycUniPk,MYC,MA0147.2
wgEncodeAwgTfbsUtaHepg2CtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUtaHuvecCmycUniPk,MYC,MA0147.2
wgEncodeAwgTfbsUtaHuvecCtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUtaK562CmycUniPk,MYC,MA0147.2
wgEncodeAwgTfbsUtaK562CtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUtaMcf7CmycEstroUniPk,MYC,MA0147.2
wgEncodeAwgTfbsUtaMcf7CmycSerumstimUniPk,MYC,MA0147.2
wgEncodeAwgTfbsUtaMcf7CmycSerumstvdUniPk,MYC,MA0147.2
wgEncodeAwgTfbsUtaMcf7CmycVehUniPk,MYC,MA0147.2
wgEncodeAwgTfbsUtaMcf7CtcfEstroUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUtaMcf7CtcfSerumstimUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUtaMcf7CtcfSerumstvdUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUtaMcf7CtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUtaMcf7CtcfVehUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUtaNhekCtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUtaProgfibCtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUwA549CtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUwAg04449CtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUwAg04450CtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUwAg09309CtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUwAg09319CtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUwAg10803CtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUwAoafCtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUwBe2cCtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUwBjCtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUwCaco2CtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUwGm06990CtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUwGm12801CtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUwGm12864CtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUwGm12865CtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUwGm12872CtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUwGm12873CtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUwGm12874CtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUwGm12875CtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUwGm12878CtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUwHacCtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUwHaspCtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUwHbmecCtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUwHcfaaCtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUwHcmCtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUwHcpeCtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUwHct116CtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUwHeeCtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUwHek293CtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUwHelas3CtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUwHepg2CtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUwHffCtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUwHffmycCtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUwHl60CtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUwHmecCtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUwHmfCtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUwHpafCtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUwHpfCtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUwHreCtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUwHrpeCtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUwHuvecCtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUwHvmfCtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUwK562CtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUwMcf7CtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUwNb4CtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUwNhdfneoCtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUwNhekCtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUwNhlfCtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUwRptecCtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUwSaecCtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUwSknshraCtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUwWerirb1CtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsUwWi38CtcfUniPk,CTCF,MA0139.1
